"Agency.Name","ABN","Value","Description","Procurement.Method","Title","Common.Title","Count","Total","Limited","Open","Prequalified","Supplier.Name"
"All","12074895319",230061.98,"CENTRIFUGAL PUMP UNIT","Limited tender","Industrial pumps and compressors","Industrial pumps and compressors",18,1011884.04,850057.88,0,161826.16,"Fitt Resources"
"All","12079749287",2080200,"Contractor Support Services","Limited tender","Surveillance and detection equipment","Management advisory services",93,21644436.32,6245153.48,11239573.18,4159709.66,"JACOBS AUSTRALIA"
"All","12095876323",1030000.02,"Payment of Sponsorship for Re-engineering Australi Foundation","Limited tender","Sponsorship of event or celebrity","Sponsorship of event or celebrity",2,1138158.04,1138158.04,0,0,"RE-ENGINEERING AUSTRALIA"
"All","12105996441",2116768.13,"Lease at Woodridge SC (Centrelink) QLD &nbsp;","Open tender","Lease and rental of property or building","Lease and rental of property or building",1,2116768.13,0,2116768.13,0,"Woodridge Offices Pty Ltd"
"All","12114251491",132348932,"Lease at 400 George Street, Brisbane, QLD","Open tender","Lease and rental of property or building","Lease and rental of property or building",1,132348932,0,132348932,0,"400 George Street (QLD) Pty Ltd"
"All","12132666927",981207.65,"Security Vetting Services","Open tender","Security and personal safety","Security and personal safety",4,1493795.26,0,1493795.26,0,"NATIONAL VETTING SERVICES PTY LTD"
"All","12135812903",1149912.5,"Lambina SA GNSS CORS Equipment Enclosure","Open tender","Hardware","Electrical equipment and components and supplies",5,2770446.8,1211017.5,1149912.5,409516.8,"ULTIMATE POSITIONING GROUP PTY LTD"
"All","12377614012",3943035,"Provision of External Evaluations for Pharmaceutical Benefits Advisory Committee","Open tender","Health programs","Research programs",50,11122335.19,3183404.59,7938930.6,0,"Monash University"
"All","12413767330",3e+06,"Accommodation and Venue Hire Services","Limited tender","Hotels and lodging and meeting facilities","Hotels and lodging and meeting facilities",6,3448577.1,3038027.1,3e+05,110550,"The Hotel Network"
"All","12506083505",488962.33,"Refugee Settlement Humanitarian Settlement Service","Open tender","Refugee programs","Refugee programs",4,1075481.28,0,1075481.28,0,"THE ROMAN CATHOLIC TRUST"
"All","12756983554",1323000,"Lease for Premises at 13 London Circuit, Canberra City ACT 2601","Open tender","Lease and rental of property or building","Lease and rental of property or building",1,1323000,0,1323000,0,"London Court Unit Trust"
"All","12811880915",27500000,"Asset Valuation Services","Limited tender","Community and social services","Management advisory services",31,28853086.01,28610206.01,204280,38600,"Australian Valuation Office"
"All","13002287247",3913237.9,"Renewal of SAS Enterprise Guide, PC SAS and Mainframe SAS Licences","Limited tender","Software maintenance and support","Software",36,7038547.34,6527310.35,496406.79,14830.2,"SAS Institute Australia Pty Ltd"
"All","13008581342",5381341.83,"Anzac Parade &amp; Constitution Ave Intersection Stage 2 - Head Contractor","Limited tender","Civil engineering","Civil engineering",5,5512337.53,5512337.53,0,0,"Woden Construction Pty Ltd"
"All","13051694963",1710000,"Christmas Island mine site rehabilitation 2012-13","Limited tender","Environmental management","Environmental management",1,1710000,1710000,0,0,"Director of National Parks"
"All","13056263239",944200,"Pharmaceuticals","Open tender","Drugs and Pharmaceutical Products","Drugs and Pharmaceutical Products",178,21673391.34,0,21673391.34,0,"ANSPEC PTY LTD"
"All","13066167557",367457.69,"Support Services for Schedule Development","Limited tender","Project administration or planning","Project administration or planning",14,2622422.58,756478.49,1285061.58,580882.51,"CROWN MANAGEMENT CONSULTANTS"
"All","13095815124",770000,"Range Remediation.","Prequalified tender","Roads and landscape","Agricultural and forestry and landscape machinery and equipment",4,1068265,71720,0,996545,"PFEIFFER INDUSTRIES PTY LTD"
"All","13099461819",2743452,"124991 - Provision of Maintenance of Operating Equipment","Limited tender","Security and control equipment","Refurbishing services",12,3296907.11,3296907.11,0,0,"L3 COMMUNICATIONS"
"All","13119548177",2684516.99,"FRAL - Legal Advice Services","Open tender","Legal services","Legal services",1,2684516.99,0,2684516.99,0,"Marks & Sands Lawyers (No 1) P/L"
"All","13125068770",445670.5,"Make good - CA House","Limited tender","Real estate services","Lease and rental of property or building",5,1053513.5,1053513.5,0,0,"HAMIB Pty Ltd"
"All","13134120353",244200,"Health Adviser (Bangladesh)","Open tender","Comprehensive health services","Comprehensive health services",41,3421019.06,129826.91,2980561.21,310630.94,"MOTT MACDONALD AUSTRALIA PTY LTD"
"All","13158841288",1183964.59,"Support Services for the Australian Cospas-Sarsat Ground Segment","Open tender","Computer hardware maintenance or support","Computer hardware maintenance or support",1,1183964.59,0,1183964.59,0,"VisionDrive Pty Ltd"
"All","13326533763",1795706,"Scope design external and internal signage","Open tender","Graphic design","Graphic design",2,2244206,0,2244206,0,"Red Design Group Pty Ltd"
"All","13628586699",590832,"Delivery of the National Vocational Education and Training Skills for Sustainability Professional Development Program","Open tender","Education and Training Services","Education and Training Services",18,2011764.64,495529.24,1468791.4,47444,"SWINBURNE UNIVERSITY OF"
"All","13971572387",11499342.79,"Leasing of security equipment - Wickham point","Limited tender","Lease and rental of property or building","Lease and rental of property or building",3,12581962.79,11981032.79,0,600930,"THE TRUSTEE FOR STS UNIT TRUST"
"All","13993250709",830000,"Service to Indian Ocean Territory patients admitted to WA Hospitals","Limited tender","Comprehensive health services","Medical practice",14,1813025.47,1727901.47,85124,0,"HEALTH CORPORATE NETWO"
"All","14007145637",1723876,"Various ICT Specialist roles","Open tender","Computer servers","Temporary personnel services",266,38478781.09,753648.91,35639543.18,2085589,"Icon Recruitment Pty Ltd"
"All","14074033828",764562,"Travel Managment Services for Senators and Members","Open tender","Travel agents","Travel agents",8,1710206.14,147879.04,1552252.8,10074.3,"HRG Australia"
"All","14080361548",30291860,"Lease for Premises at 29 Brindabella Circuit, Pialligo, Canberra Airport, ACT 2609","Open tender","Lease and rental of property or building","Lease and rental of property or building",16,112177487.62,43170198.62,69007289,0,"Canberra Airport Pty Ltd"
"All","14082197840",988037.93,"Interoperability and Integration Support","Open tender","Architectural engineering","Management advisory services",11,3521707.25,97306,3229371.25,195030,"ROB DOBSON & ASSOCIATES PTY LTD"
"All","14091404214",1181206.51,"Procurement of ICT Switches","Open tender","Computer Equipment and Accessories","Computer Equipment and Accessories",2,1238539.72,0,1238539.72,0,"CISCO SYSTEMS AUSTRALIA PTY LTD"
"All","14092499431",14211771.32,"Purchase of Data Storage Equipments","Open tender","Computer Equipment and Accessories","Computer Equipment and Accessories",51,28952545.05,799153.15,23487004.79,4666387.11,"NETAPP AUSTRALIA PTY LTD"
"All","14093420752",1271351.03,"software maintenance/support","Limited tender","Software maintenance and support","Software maintenance and support",6,2679321.57,2679321.57,0,0,"PROGRAM IT PTY LTD"
"All","14097593532",754226,"New 2 Year Building Lease Southport 72 Nerang St","Limited tender","Lease and rental of property or building","Lease and rental of property or building",2,1378148,1378148,0,0,"Sharaf Investments Pty Ltd"
"All","14102572547",2131816.54,"WAVE Software","Limited tender","Software","Software or hardware engineering",8,3331304.63,3331304.63,0,0,"CISTECH SOLUTIONS"
"All","14106166901",11575536.02,"Rent/Storage/Carparking","Open tender","Property management services","Property management services",13,34076727.07,0,34076727.07,0,"Five D Property Management NSW P/l"
"All","14111187270",3e+05,"Provision of Security Evaluation Documentation","Open tender","Software or hardware engineering","Information technology consultation services",30,1781744.51,484837.4,1259467.11,37440,"STRATSEC"
"All","14114595836",897462.73,"Supply of the ACRA equipment for the PC-9/A OLM","Limited tender","Military fixed wing aircraft","Electronic hardware and component parts and accessories",8,1354534.77,1354534.77,0,0,"ETMC TECHNOLOGIES PTY LTD"
"All","14122629341",4785000,"Leadership Development management services for the Scholarships Program","Limited tender","Education and Training Services","Education and Training Services",1,4785000,4785000,0,0,"AUSTRALIAN EXPERIENTIAL LEARNING CENTRE"
"All","14125123757",300311,"Demolition and Construction of Building at South Morang","Limited tender","General building construction","Prefabricated structures",11,1340588.82,489436.1,490330.72,360822,"ICS Industries"
"All","14131046931",6223048.81,"Lease for Levels 3-4, Thomas Street, Dandenong, VIC","Open tender","Lease and rental of property or building","Lease and rental of property or building",1,6223048.81,0,6223048.81,0,"Dalrob Enterprises Pty Ltd"
"All","14571943048",1.5e+07,"Provision of casual and temporary staffing","Open tender","Personnel recruitment","Human resources services",23,24499703.7,83441.6,24416262.1,0,"Hoban Recruitment Pty Ltd"
